date,contest_number,n1,n2,n3,n4,n5,n6,jolly,super_star
2022-10-08,121,33,51,84,80,26,41,15,44
2022-10-11,122,39,1,46,33,35,58,15,48
2022-10-13,123,20,64,4,65,79,69,81,20
2022-10-15,124,69,74,26,12,83,34,66,68
2022-10-18,125,56,31,5,57,4,59,51,75
2022-10-20,126,39,69,65,67,8,6,32,7
2022-10-22,127,31,43,28,3,59,53,7,22
2022-10-25,128,41,1,71,19,48,68,25,45
2022-10-27,129,28,32,40,72,49,27,53,70
2022-10-29,130,86,79,15,74,32,66,84,54
2022-10-31,131,12,17,32,64,81,84,11,5
2022-11-03,132,40,10,15,37,43,59,5,67
2022-11-05,133,74,41,18,11,50,63,81,21
2022-11-08,134,46,73,33,44,15,31,79,3
2022-11-10,135,10,16,18,45,39,34,87,3
2022-11-12,136,19,32,51,61,82,71,48,35
2022-11-15,137,48,86,13,33,23,21,28,1
2022-11-17,138,48,88,39,3,52,6,9,6
2022-11-19,139,19,48,58,30,44,72,40,33
2022-11-22,140,14,23,41,64,35,22,17,14
2022-11-24,141,58,66,25,88,81,78,76,3
2022-11-26,142,48,42,72,8,61,3,56,34
2022-11-29,143,61,33,60,18,43,78,20,52
2022-12-01,144,13,32,68,54,4,56,67,25
2022-12-03,145,37,79,38,73,4,53,29,90
2022-12-06,146,21,31,12,70,83,39,16,59
2022-12-10,147,29,56,50,55,81,76,9,47
2022-12-12,148,16,33,51,54,68,86,42,82
2022-12-13,149,32,76,51,40,75,61,72,21
2022-12-15,150,65,3,32,39,4,30,43,66
2022-12-17,151,24,70,8,54,21,68,12,76
2022-12-20,152,87,23,12,81,73,7,35,8
2022-12-22,153,34,9,39,25,64,54,87,22
2022-12-24,154,9,23,29,69,72,81,8,79
2022-12-27,155,39,37,44,72,68,3,11,21
2022-12-29,156,19,34,2,46,37,58,62,69
2022-12-31,157,9,15,30,37,44,72,75,21
2023-01-03,1,8,51,71,34,10,30,20,27
2023-01-05,2,5,9,15,13,50,64,68,43
2023-01-07,3,17,54,60,67,41,86,51,12
2023-01-10,4,24,56,83,31,21,32,78,40
2023-01-12,5,10,9,44,22,85,41,5,51
2023-01-14,6,44,78,58,74,52,37,65,67
2023-01-17,7,9,40,10,68,60,14,21,9
2023-01-19,8,47,29,67,87,59,57,6,48
2023-01-21,9,61,82,22,66,72,80,67,79
2023-01-24,10,55,3,20,80,75,7,88,44
2023-01-26,11,79,60,34,25,86,6,48,81
2023-01-28,12,82,53,58,19,61,23,73,52
2023-01-31,13,39,13,15,23,41,46,30,42
2023-02-02,14,14,28,19,3,70,80,83,7
2023-02-04,15,46,49,81,42,68,3,4,81
2023-02-07,16,89,65,24,58,54,81,63,20
2023-02-09,17,3,10,25,44,57,90,53,68
2023-02-11,18,24,25,28,31,68,4,79,65
2023-02-14,19,19,22,67,85,79,71,23,13
2023-02-16,20,52,1,66,47,38,56,72,23
2023-02-18,21,65,72,57,46,52,22,31,2
2023-02-21,22,31,44,80,63,7,83,87,77
2023-02-23,23,29,6,58,52,68,34,59,12
2023-02-25,24,52,72,89,42,6,85,56,28
2023-02-28,25,16,50,49,73,47,7,45,41
2023-03-02,26,9,24,28,37,44,81,51,72
2023-03-04,27,24,29,49,22,58,4,69,8
2023-03-07,28,81,64,49,89,2,38,43,10
2023-03-09,29,41,30,42,77,19,1,61,32
2023-03-11,30,54,46,58,79,23,42,40,69
2023-03-14,31,8,88,64,25,20,87,75,34
2023-03-16,32,86,36,48,25,28,45,50,51
2023-03-18,33,69,47,35,37,43,73,16,47
2023-03-21,34,30,36,16,15,71,10,59,63
2023-03-23,35,66,42,41,8,6,80,79,11
2023-03-25,36,15,82,26,72,27,4,89,12
2023-03-28,37,64,79,42,76,62,52,55,56
2023-03-30,38,21,30,43,46,29,63,77,54
2023-04-01,39,47,73,75,22,5,36,51,78
2023-04-04,40,54,88,69,17,62,20,39,36
2023-04-06,41,45,4,42,30,28,50,27,55
2023-04-08,42,32,38,25,17,48,43,67,73
2023-04-11,43,70,9,69,40,55,60,34,70
2023-04-13,44,42,2,76,11,73,90,55,35
2023-04-15,45,22,7,79,36,86,52,38,51
2023-04-18,46,64,5,67,62,66,36,53,2
2023-04-20,47,7,52,5,4,21,45,77,37
2023-04-22,48,6,18,22,25,26,47,60,61
2023-04-24,49,3,7,46,69,75,82,81,28
2023-04-27,50,7,10,62,63,77,86,5,44
2023-04-29,51,21,43,55,56,73,89,13,2
2023-05-02,52,86,17,88,60,43,71,16,49
2023-05-04,53,23,72,62,57,6,9,16,22
2023-05-06,54,46,40,25,10,47,74,7,31
2023-05-09,55,18,41,60,78,44,25,36,72
2023-05-11,56,62,35,1,6,48,65,43,83
2023-05-13,57,31,84,35,3,82,57,68,16
2023-05-16,58,67,72,77,42,52,20,82,3
2023-05-18,59,69,16,63,5,77,35,29,3
2023-05-20,60,46,32,70,37,18,64,30,44
