date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2009-12-29,156,11,16,21,62,70,84,24,4,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-12-31,157,40,41,45,51,52,79,31,76,,,https://lottologia.com/superenalotto/estrazioni/2009
2010-01-02,1,10,23,47,63,70,81,19,51,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-05,2,44,48,49,68,86,87,62,84,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-07,3,13,24,26,34,76,77,80,75,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-09,4,1,30,32,45,69,83,49,89,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-12,5,26,27,39,55,59,63,71,57,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-14,6,4,24,47,66,74,77,81,50,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-16,7,14,18,32,33,46,88,35,62,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-19,8,5,18,55,59,65,74,53,20,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-21,9,11,21,53,62,63,68,10,85,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-23,10,2,23,24,70,81,90,35,27,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-26,11,6,15,18,23,53,62,80,74,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-28,12,21,23,25,27,36,84,80,80,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-01-30,13,4,17,52,55,56,67,26,13,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-02,14,8,26,32,40,62,88,87,18,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-04,15,11,25,36,49,53,85,55,49,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-06,16,24,40,43,51,53,88,31,68,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-09,17,20,22,24,40,51,80,60,82,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-11,18,4,19,32,58,73,87,29,35,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-13,19,1,14,26,49,71,89,40,4,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-16,20,46,48,63,68,83,85,13,29,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-18,21,7,34,49,51,58,86,69,83,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-20,22,19,26,63,67,68,83,6,5,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-23,23,12,30,35,44,49,62,22,30,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-25,24,1,64,67,68,79,90,59,25,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-02-27,25,13,43,47,55,67,70,82,71,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-02,26,4,5,18,35,40,90,38,18,,,https://lottologia.com/superenalotto/estrazioni/2010
